model,tool,epsilon,Robust,Non-robust,AVG time (s)
50/100/50,nnv,0.005,76.52,23.49,0.0144
50/100/50,nnv,0.01,76.62,23.38,0.0134
50/100/50,nnv,0.025,76.84,23.16,0.0132
100/200/100,nnv,0.005,66.67,33.33,0.0151
100/200/100,nnv,0.01,66.78,33.23,0.0147
100/200/100,nnv,0.025,66.67,33.33,0.0152
200/400/200,nnv,0.005,49.13,50.87,0.0155
200/400/200,nnv,0.01,49.03,50.97,0.0159
200/400/200,nnv,0.025,48.7,51.3,0.0154
50/100/50,nnenum,0.005,92.5,7.5,0.02
50/100/50,nnenum,0.01,82.5,17.5,1.67
50/100/50,nnenum,0.025,17.5,82.5,12.02
100/200/100,nnenum,0.005,90,10,0.16
100/200/100,nnenum,0.01,65,35,15.02
100/200/100,nnenum,0.025,10,90,37.04
200/400/200,nnenum,0.005,95,5,1.6
200/400/200,nnenum,0.01,67.5,22.5,8.89
200/400/200,nnenum,0.025,10,90,45.02
