model,tool,mode,epsilon,Robust,Non-robust,AVG time (s)
M1 (50/100/50),nnv,normal,0.005,54.65,0,0.45
M1 (50/100/50),nnv,normal,0.01,43.29,0,0.66
M1 (50/100/50),nnv,normal,0.025,12.55,0,1.42
M2 (100/200/100),nnv,normal,0.005,41.23,0,1.91
M2 (100/200/100),nnv,normal,0.01,26.52,0,2.79
M2 (100/200/100),nnv,normal,0.025,7.25,0,5.33
M3 (200/400/200),nnv,normal,0.005,12.45,0,18.14
M3 (200/400/200),nnv,normal,0.01,7.36,0,23.7
M3 (200/400/200),nnv,normal,0.025,1.63,0,76.82
M1 (50/100/50),nnenum,normal,0.005,92.5,7.5,0.02
M1 (50/100/50),nnenum,normal,0.01,82.5,17.5,1.67
M1 (50/100/50),nnenum,normal,0.025,17.5,82.5,12.02
M2 (100/200/100),nnenum,normal,0.005,90,10,0.16
M2 (100/200/100),nnenum,normal,0.01,65,35,15.02
M2 (100/200/100),nnenum,normal,0.025,10,90,37.04
M3 (200/400/200),nnenum,normal,0.005,95,5,1.6
M3 (200/400/200),nnenum,normal,0.01,67.5,22.5,8.89
M3 (200/400/200),nnenum,normal,0.025,10,90,45.02
M1 (50/100/50),nnenum,adversarial,0.005,92.5,7.5,0.0054
M1 (50/100/50),nnenum,adversarial,0.01,90,10,0.0278
M1 (50/100/50),nnenum,adversarial,0.025,60,40,2.4734
M2 (100/200/100),nnenum,adversarial,0.005,100,0,0.0048
M2 (100/200/100),nnenum,adversarial,0.01,87.5,12.5,2.8006
M2 (100/200/100),nnenum,adversarial,0.025,17.5,82.5,36.8543
M3 (200/400/200),nnenum,adversarial,0.005,95,5,0.0108
M3 (200/400/200),nnenum,adversarial,0.01,85,15,4.5067
M3 (200/400/200),nnenum,adversarial,0.025,17.5,82.5,27.1891
M1 (50/100/50),nnv,adversarial,0.005,60.75,39.25,0.1607
M1 (50/100/50),nnv,adversarial,0.01,42,58,0.3188
M1 (50/100/50),nnv,adversarial,0.025,0,100,4.1588
M2 (100/200/100),nnv,adversarial,0.005,65.25,34.75,0.5314
M2 (100/200/100),nnv,adversarial,0.01,41.25,58.75,1.2656
M2 (100/200/100),nnv,adversarial,0.025,0,100,21.4002
M3 (200/400/200),nnv,adversarial,0.005,54.25,45.75,2.6455
M3 (200/400/200),nnv,adversarial,0.01,23.5,76.5,6.3914
M3 (200/400/200),nnv,adversarial,0.025,0,100,240.7764
